time,speed,rpm,
17.8,140,5333,17.8
18,141,5517,18
18.2,142,5517,18.2
18.4,143,5517,18.4
18.6,144,5517,18.6
18.8,145,5517,18.8
19,146,5517,19
19.2,147,5517,19.2
19.4,148,5517,19.4
19.6,149,5517,19.6
19.8,150,5517,19.8
20,151,5333,20
20.2,152,5517,20.2
20.4,153,5517,20.4
20.6,154,5517,20.6
20.8,155,5517,20.8
21,156,5517,21
21.2,157,5517,21.2
21.4,158,5517,21.4
21.6,159,5517,21.6
21.8,160,5714,21.8
22,161,5925,22
22.2,162,6153,22.2
22.4,163,5925,22.4
22.6,164,5925,22.6
22.8,165,6153,22.8
23,166,6153,23
23.2,167,6153,23.2
23.4,168,6153,23.4
23.6,169,5925,23.6
23.8,170,6153,23.8
24,171,6153,24
24.2,172,6153,24.2
24.4,173,6153,24.4
24.6,174,6153,24.6
24.8,175,6153,24.8
25,176,6400,25
25.2,177,6153,25.2
25.4,178,6153,25.4
25.6,179,6153,25.6
25.8,180,6400,25.8
26,181,6400,26
26.2,182,6400,26.2
26.4,183,6400,26.4
26.6,184,6400,26.6
26.8,185,6400,26.8
27,186,6400,27
27.2,187,6666,27.2
27.4,188,6400,27.4
27.6,189,6400,27.6
27.8,190,6400,27.8
28,191,6400,28
28.2,192,6666,28.2
28.4,193,6666,28.4
28.6,194,6666,28.6
28.8,195,6666,28.8
29,196,6666,29
29.2,197,6666,29.2
29.4,198,6666,29.4
29.6,199,6666,29.6
29.8,200,6666,29.8
30,201,6666,30
30.2,202,6666,30.2
30.4,203,6666,30.4
30.6,204,6956,30.6
30.8,205,6666,30.8
31,206,6666,31
31.2,207,6956,31.2
31.4,208,6666,31.4
31.6,209,6956,31.6
31.8,210,6956,31.8
32,211,6956,32
32.2,212,6956,32.2
32.4,213,6666,32.4
32.6,214,6666,32.6
32.8,215,6666,32.8
33,216,6956,33
33.2,217,6956,33.2
33.4,218,6956,33.4
33.6,219,7272,33.6
33.8,220,6956,33.8
34,221,7272,34
34.2,222,6956,34.2
34.4,223,6956,34.4
34.6,224,7272,34.6
34.8,225,6956,34.8
35,226,6956,35
35.2,227,6956,35.2
35.4,228,6956,35.4
35.6,229,7272,35.6
35.8,230,7272,35.8
36,231,7272,36
36.2,232,7272,36.2
36.4,233,7272,36.4
36.6,234,7272,36.6
36.8,235,7272,36.8
37,236,7272,37
37.2,237,7272,37.2
37.4,238,7619,37.4
37.6,239,7272,37.6
